'Elapsed time','I'
'0:00.538',-0.028
'0:00.540',-0.028
'0:00.542',-0.030
'0:00.544',-0.032
'0:00.546',-0.033
'0:00.548',-0.031
'0:00.550',-0.026
'0:00.552',-0.018
'0:00.554',-0.010
'0:00.556',0.000
'0:00.558',0.009
'0:00.560',0.017
'0:00.562',0.019
'0:00.564',0.018
'0:00.566',0.009
'0:00.568',0.003
'0:00.570',0.001
'0:00.572',0.003
'0:00.574',0.005
'0:00.576',0.005
'0:00.578',0.004
'0:00.580',0.004
'0:00.582',0.004
'0:00.584',0.003
'0:00.586',0.003
'0:00.588',0.003
'0:00.590',0.003
'0:00.592',0.002
'0:00.594',0.002
'0:00.596',0.001
'0:00.598',0.001
'0:00.600',-0.002
'0:00.602',-0.007
'0:00.604',-0.025
'0:00.606',-0.062
'0:00.608',-0.124
'0:00.610',-0.201
'0:00.612',-0.255
'0:00.614',-0.228
'0:00.616',-0.070
'0:00.618',0.189
'0:00.620',0.408
'0:00.622',0.511
'0:00.624',0.609
'0:00.626',0.723
'0:00.628',0.772
'0:00.630',0.799
'0:00.632',0.730
'0:00.634',0.501
'0:00.636',0.282
'0:00.638',0.155
'0:00.640',0.084
'0:00.642',0.046
'0:00.644',0.029
'0:00.646',0.015
'0:00.648',-0.003
'0:00.650',-0.017
'0:00.652',-0.025
'0:00.654',-0.027
'0:00.656',-0.029
'0:00.658',-0.029
'0:00.660',-0.031
'0:00.662',-0.032
'0:00.664',-0.033
'0:00.666',-0.034
'0:00.668',-0.035
'0:00.670',-0.036
'0:00.672',-0.037
'0:00.674',-0.039
'0:00.676',-0.040
'0:00.678',-0.041
'0:00.680',-0.042
'0:00.682',-0.043
'0:00.684',-0.044
'0:00.686',-0.045
'0:00.688',-0.045
'0:00.690',-0.046
'0:00.692',-0.047
'0:00.694',-0.046
'0:00.696',-0.048
'0:00.698',-0.047
'0:00.700',-0.046
'0:00.702',-0.045
'0:00.704',-0.045
'0:00.706',-0.044
'0:00.708',-0.043
'0:00.710',-0.042
'0:00.712',-0.040
'0:00.714',-0.039
'0:00.716',-0.038
'0:00.718',-0.037
'0:00.720',-0.036
'0:00.722',-0.036
'0:00.724',-0.036
'0:00.726',-0.035
'0:00.728',-0.036
'0:00.730',-0.036
'0:00.732',-0.037
'0:00.734',-0.036
'0:00.736',-0.037
'0:00.738',-0.035
'0:00.740',-0.033
'0:00.742',-0.029
'0:00.744',-0.023
'0:00.746',-0.015
'0:00.748',-0.005
'0:00.750',0.006
'0:00.752',0.019
'0:00.754',0.034
'0:00.756',0.050
'0:00.758',0.066
'0:00.760',0.081
'0:00.762',0.096
'0:00.764',0.108
'0:00.766',0.119
'0:00.768',0.127
'0:00.770',0.131
'0:00.772',0.132
'0:00.774',0.130
'0:00.776',0.125
'0:00.778',0.117
'0:00.780',0.107
'0:00.782',0.097
'0:00.784',0.085
'0:00.786',0.072
'0:00.788',0.060
'0:00.790',0.049
'0:00.792',0.038
'0:00.794',0.029
'0:00.796',0.021
'0:00.798',0.013
'0:00.800',0.007
'0:00.802',0.002
'0:00.804',-0.002
'0:00.806',-0.005
'0:00.808',-0.007
'0:00.810',-0.009
'0:00.812',-0.010
'0:00.814',-0.011
'0:00.816',-0.011
'0:00.818',-0.012
'0:00.820',-0.011
'0:00.822',-0.013
'0:00.824',-0.012
'0:00.826',-0.013
'0:00.828',-0.013
'0:00.830',-0.012
'0:00.832',-0.013
'0:00.834',-0.013
'0:00.836',-0.012
'0:00.838',-0.013
'0:00.840',-0.013
'0:00.842',-0.012
'0:00.844',-0.012
'0:00.846',-0.012
'0:00.848',-0.011
'0:00.850',-0.012
'0:00.852',-0.011
'0:00.854',-0.012
'0:00.856',-0.012
'0:00.858',-0.011
'0:00.860',-0.011
'0:00.862',-0.011
'0:00.864',-0.011
'0:00.866',-0.011
'0:00.868',-0.010
'0:00.870',-0.010
'0:00.872',-0.009
'0:00.874',-0.009
'0:00.876',-0.009
'0:00.878',-0.009
'0:00.880',-0.009
'0:00.882',-0.009
'0:00.884',-0.007
'0:00.886',-0.007
'0:00.888',-0.007
'0:00.890',-0.007
'0:00.892',-0.006
'0:00.894',-0.006
'0:00.896',-0.006
'0:00.898',-0.006
'0:00.900',-0.005
'0:00.902',-0.005
'0:00.904',-0.005
'0:00.906',-0.005
'0:00.908',-0.005
'0:00.910',-0.004
'0:00.912',-0.004
'0:00.914',-0.005
'0:00.916',-0.005
'0:00.918',-0.005
'0:00.920',-0.005
'0:00.922',-0.005
'0:00.924',-0.004
'0:00.926',-0.005
'0:00.928',-0.005
'0:00.930',-0.005
'0:00.932',-0.005
'0:00.934',-0.005
'0:00.936',-0.005
'0:00.938',-0.005
'0:00.940',-0.005
'0:00.942',-0.005
'0:00.944',-0.005
'0:00.946',-0.006
'0:00.948',-0.006
'0:00.950',-0.006
'0:00.952',-0.006
'0:00.954',-0.006
'0:00.956',-0.006
'0:00.958',-0.007
'0:00.960',-0.007
'0:00.962',-0.007
'0:00.964',-0.007
'0:00.966',-0.007
'0:00.968',-0.007
'0:00.970',-0.007
'0:00.972',-0.007
'0:00.974',-0.007
'0:00.976',-0.007
'0:00.978',-0.008
'0:00.980',-0.007
'0:00.982',-0.008
'0:00.984',-0.008
'0:00.986',-0.008
'0:00.988',-0.008
'0:00.990',-0.008
'0:00.992',-0.008
'0:00.994',-0.008
'0:00.996',-0.008
'0:00.998',-0.008
'0:01.000',-0.008
'0:01.002',-0.008
'0:01.004',-0.008
'0:01.006',-0.008
'0:01.008',-0.008
'0:01.010',-0.008
'0:01.012',-0.009
'0:01.014',-0.008
'0:01.016',-0.008
'0:01.018',-0.009
'0:01.020',-0.008
'0:01.022',-0.008
'0:01.024',-0.008
'0:01.026',-0.008
'0:01.028',-0.009
'0:01.030',-0.009
'0:01.032',-0.008
'0:01.034',-0.008
'0:01.036',-0.009
'0:01.038',-0.008
'0:01.040',-0.008
'0:01.042',-0.008
'0:01.044',-0.008
'0:01.046',-0.008
'0:01.048',-0.008
'0:01.050',-0.007
'0:01.052',-0.007
'0:01.054',-0.007
'0:01.056',-0.006
'0:01.058',-0.006
'0:01.060',-0.006
'0:01.062',-0.005
'0:01.064',-0.006
'0:01.066',-0.007
'0:01.068',-0.011
'0:01.070',-0.019
'0:01.072',-0.026
'0:01.074',-0.029
'0:01.076',-0.028
'0:01.078',-0.028
'0:01.080',-0.030
'0:01.082',-0.032
'0:01.084',-0.033
'0:01.086',-0.032
'0:01.088',-0.028
'0:01.090',-0.022
'0:01.092',-0.014
'0:01.094',-0.006
'0:01.096',0.003
'0:01.098',0.011
'0:01.100',0.017
'0:01.102',0.020
'0:01.104',0.018
'0:01.106',0.011
'0:01.108',0.004
'0:01.110',0.002
'0:01.112',0.003
'0:01.114',0.004
'0:01.116',0.005
'0:01.118',0.005
'0:01.120',0.004
'0:01.122',0.004
'0:01.124',0.004
'0:01.126',0.004
'0:01.128',0.004
'0:01.130',0.003
'0:01.132',0.003
'0:01.134',0.003
'0:01.136',0.002
'0:01.138',0.002
'0:01.140',0.001
'0:01.142',0.000
'0:01.144',-0.003
'0:01.146',-0.010
'0:01.148',-0.029
'0:01.150',-0.066
'0:01.152',-0.123
'0:01.154',-0.193
'0:01.156',-0.247
'0:01.158',-0.244
'0:01.160',-0.139
'0:01.162',0.072
'0:01.164',0.308
'0:01.166',0.460
'0:01.168',0.537
'0:01.170',0.636
'0:01.172',0.733
'0:01.174',0.772
'0:01.176',0.796
'0:01.178',0.744
'0:01.180',0.550
'0:01.182',0.334
'0:01.184',0.194
'0:01.186',0.112
'0:01.188',0.064
'0:01.190',0.039
'0:01.192',0.026
'0:01.194',0.013
'0:01.196',-0.003
'0:01.198',-0.015
'0:01.200',-0.022
'0:01.202',-0.025
'0:01.204',-0.026
'0:01.206',-0.028
'0:01.208',-0.028
'0:01.210',-0.029
'0:01.212',-0.030
'0:01.214',-0.032
'0:01.216',-0.032
'0:01.218',-0.033
'0:01.220',-0.034
'0:01.222',-0.035
'0:01.224',-0.036
'0:01.226',-0.037
'0:01.228',-0.038
'0:01.230',-0.039
'0:01.232',-0.040
'0:01.234',-0.041
'0:01.236',-0.041
'0:01.238',-0.042
'0:01.240',-0.042
'0:01.242',-0.043
'0:01.244',-0.043
'0:01.246',-0.043
'0:01.248',-0.043
'0:01.250',-0.043
'0:01.252',-0.042
'0:01.254',-0.042
'0:01.256',-0.041
'0:01.258',-0.040
'0:01.260',-0.039
'0:01.262',-0.038
'0:01.264',-0.037
'0:01.266',-0.035
'0:01.268',-0.034
'0:01.270',-0.033
'0:01.272',-0.033
'0:01.274',-0.031
'0:01.276',-0.031
'0:01.278',-0.030
'0:01.280',-0.030
'0:01.282',-0.031
'0:01.284',-0.031
'0:01.286',-0.032
'0:01.288',-0.032
'0:01.290',-0.031
'0:01.292',-0.031
'0:01.294',-0.029
'0:01.296',-0.028
'0:01.298',-0.024
'0:01.300',-0.019
'0:01.302',-0.013
'0:01.304',-0.004
'0:01.306',0.005
'0:01.308',0.016
'0:01.310',0.029
'0:01.312',0.043
'0:01.314',0.057
'0:01.316',0.070
'0:01.318',0.085
'0:01.320',0.098
'0:01.322',0.110
'0:01.324',0.119
'0:01.326',0.128
'0:01.328',0.132
'0:01.330',0.135
'0:01.332',0.135
'0:01.334',0.131
'0:01.336',0.127
'0:01.338',0.118
'0:01.340',0.110
'0:01.342',0.099
'0:01.344',0.088
'0:01.346',0.076
'0:01.348',0.066
'0:01.350',0.055
'0:01.352',0.045
'0:01.354',0.035
'0:01.356',0.026
'0:01.358',0.019
'0:01.360',0.013
'0:01.362',0.007
'0:01.364',0.003
'0:01.366',-0.001
'0:01.368',-0.004
'0:01.370',-0.006
'0:01.372',-0.007
'0:01.374',-0.009
'0:01.376',-0.010
'0:01.378',-0.011
'0:01.380',-0.011
'0:01.382',-0.011
'0:01.384',-0.011
'0:01.386',-0.011
'0:01.388',-0.012
'0:01.390',-0.011
'0:01.392',-0.012
'0:01.394',-0.012
'0:01.396',-0.012
'0:01.398',-0.011
'0:01.400',-0.012
'0:01.402',-0.012
'0:01.404',-0.011
'0:01.406',-0.012
'0:01.408',-0.012
'0:01.410',-0.011
'0:01.412',-0.011
'0:01.414',-0.011
'0:01.416',-0.012
'0:01.418',-0.012
'0:01.420',-0.011
'0:01.422',-0.011
'0:01.424',-0.011
'0:01.426',-0.011
'0:01.428',-0.011
'0:01.430',-0.011
'0:01.432',-0.011
'0:01.434',-0.011
'0:01.436',-0.010
'0:01.438',-0.009
'0:01.440',-0.009
'0:01.442',-0.009
'0:01.444',-0.009
'0:01.446',-0.009
'0:01.448',-0.009
'0:01.450',-0.008
'0:01.452',-0.008
'0:01.454',-0.007
'0:01.456',-0.007
'0:01.458',-0.007
'0:01.460',-0.007
'0:01.462',-0.006
'0:01.464',-0.006
'0:01.466',-0.006
'0:01.468',-0.006
'0:01.470',-0.005
'0:01.472',-0.005
'0:01.474',-0.005
'0:01.476',-0.005
'0:01.478',-0.005
'0:01.480',-0.005
'0:01.482',-0.004
'0:01.484',-0.005
'0:01.486',-0.005
'0:01.488',-0.005
'0:01.490',-0.004
'0:01.492',-0.004
'0:01.494',-0.004
'0:01.496',-0.004
'0:01.498',-0.005
'0:01.500',-0.004
'0:01.502',-0.005
'0:01.504',-0.005
'0:01.506',-0.005
'0:01.508',-0.005
'0:01.510',-0.005
'0:01.512',-0.005
'0:01.514',-0.005
'0:01.516',-0.006
'0:01.518',-0.006
'0:01.520',-0.006
'0:01.522',-0.006
'0:01.524',-0.006
'0:01.526',-0.006
'0:01.528',-0.006
'0:01.530',-0.006
'0:01.532',-0.006
'0:01.534',-0.007
'0:01.536',-0.006
'0:01.538',-0.007
'0:01.540',-0.007
'0:01.542',-0.007
'0:01.544',-0.007
'0:01.546',-0.007
'0:01.548',-0.007
'0:01.550',-0.007
'0:01.552',-0.007
'0:01.554',-0.007
'0:01.556',-0.008
'0:01.558',-0.007
'0:01.560',-0.008
'0:01.562',-0.007
'0:01.564',-0.007
'0:01.566',-0.007
'0:01.568',-0.008
'0:01.570',-0.007
'0:01.572',-0.008
'0:01.574',-0.008
'0:01.576',-0.008
'0:01.578',-0.008
'0:01.580',-0.007
'0:01.582',-0.007
'0:01.584',-0.008
'0:01.586',-0.008
'0:01.588',-0.007
'0:01.590',-0.008
'0:01.592',-0.008
'0:01.594',-0.009
'0:01.596',-0.008
'0:01.598',-0.009
'0:01.600',-0.009
'0:01.602',-0.009
'0:01.604',-0.008
'0:01.606',-0.009
'0:01.608',-0.008
'0:01.610',-0.009
'0:01.612',-0.008
'0:01.614',-0.008
'0:01.616',-0.008
'0:01.618',-0.009
'0:01.620',-0.008
'0:01.622',-0.008
'0:01.624',-0.007
'0:01.626',-0.007
'0:01.628',-0.007
'0:01.630',-0.007
'0:01.632',-0.007
'0:01.634',-0.006
'0:01.636',-0.006
'0:01.638',-0.006
'0:01.640',-0.005
'0:01.642',-0.005
'0:01.644',-0.006
'0:01.646',-0.007
'0:01.648',-0.011
'0:01.650',-0.017
'0:01.652',-0.024
'0:01.654',-0.029
'0:01.656',-0.029
'0:01.658',-0.028
'0:01.660',-0.029
'0:01.662',-0.031
'0:01.664',-0.033
'0:01.666',-0.033
'0:01.668',-0.030
'0:01.670',-0.027
'0:01.672',-0.021
'0:01.674',-0.013
'0:01.676',-0.004
'0:01.678',0.004
'0:01.680',0.011
'0:01.682',0.018
'0:01.684',0.020
'0:01.686',0.018
'0:01.688',0.011
'0:01.690',0.004
'0:01.692',0.002
'0:01.694',0.002
'0:01.696',0.004
'0:01.698',0.005
'0:01.700',0.005
'0:01.702',0.005
'0:01.704',0.004
'0:01.706',0.004
'0:01.708',0.004
'0:01.710',0.003
'0:01.712',0.003
'0:01.714',0.003
'0:01.716',0.003
'0:01.718',0.002
'0:01.720',0.002
'0:01.722',0.002
'0:01.724',0.001
'0:01.726',-0.001
'0:01.728',-0.004
'0:01.730',-0.014
'0:01.732',-0.036
'0:01.734',-0.077
'0:01.736',-0.138
'0:01.738',-0.205
'0:01.740',-0.253
'0:01.742',-0.239
'0:01.744',-0.124
'0:01.746',0.087
'0:01.748',0.317
'0:01.750',0.461
'0:01.752',0.537
'0:01.754',0.634
'0:01.756',0.732
'0:01.758',0.774
'0:01.760',0.799
'0:01.762',0.761
'0:01.764',0.585
'0:01.766',0.367
'0:01.768',0.215
'0:01.770',0.126
'0:01.772',0.071
'0:01.774',0.043
'0:01.776',0.029
'0:01.778',0.015
'0:01.780',-0.001
'0:01.782',-0.014
'0:01.784',-0.022
'0:01.786',-0.026
'0:01.788',-0.028
'0:01.790',-0.029
'0:01.792',-0.030
'0:01.794',-0.031
'0:01.796',-0.032
'0:01.798',-0.034
'0:01.800',-0.035
'0:01.802',-0.035
'0:01.804',-0.036
'0:01.806',-0.037
'0:01.808',-0.038
'0:01.810',-0.040
'0:01.812',-0.041
'0:01.814',-0.041
'0:01.816',-0.043
'0:01.818',-0.043
'0:01.820',-0.044
'0:01.822',-0.044
'0:01.824',-0.045
'0:01.826',-0.046
'0:01.828',-0.046
'0:01.830',-0.047
'0:01.832',-0.047
'0:01.834',-0.047
'0:01.836',-0.046
'0:01.838',-0.046
'0:01.840',-0.046
'0:01.842',-0.045
'0:01.844',-0.044
'0:01.846',-0.043
'0:01.848',-0.042
'0:01.850',-0.041
'0:01.852',-0.040
'0:01.854',-0.039
'0:01.856',-0.038
'0:01.858',-0.037
'0:01.860',-0.036
'0:01.862',-0.036
'0:01.864',-0.036
'0:01.866',-0.036
'0:01.868',-0.036
'0:01.870',-0.036
'0:01.872',-0.037
'0:01.874',-0.037
'0:01.876',-0.037
'0:01.878',-0.036
'0:01.880',-0.035
'0:01.882',-0.032
'0:01.884',-0.029
'0:01.886',-0.023
'0:01.888',-0.017
'0:01.890',-0.007
'0:01.892',0.003
'0:01.894',0.015
'0:01.896',0.029
'0:01.898',0.043
'0:01.900',0.058
'0:01.902',0.072
'0:01.904',0.086
'0:01.906',0.099
'0:01.908',0.111
'0:01.910',0.119
'0:01.912',0.127
'0:01.914',0.131
'0:01.916',0.133
'0:01.918',0.131
'0:01.920',0.127
'0:01.922',0.121
'0:01.924',0.113
'0:01.926',0.103
'0:01.928',0.092
'0:01.930',0.081
'0:01.932',0.070
'0:01.934',0.058
'0:01.936',0.048
'0:01.938',0.037
'0:01.940',0.029
'0:01.942',0.021
'0:01.944',0.014
'0:01.946',0.008
'0:01.948',0.003
'0:01.950',-0.001
'0:01.952',-0.004
'0:01.954',-0.006
'0:01.956',-0.007
'0:01.958',-0.009
'0:01.960',-0.010
'0:01.962',-0.011
'0:01.964',-0.011
'0:01.966',-0.012
'0:01.968',-0.013
'0:01.970',-0.013
'0:01.972',-0.013
'0:01.974',-0.013
'0:01.976',-0.012
'0:01.978',-0.013
'0:01.980',-0.013
'0:01.982',-0.013
'0:01.984',-0.013
'0:01.986',-0.013
'0:01.988',-0.013
'0:01.990',-0.013
'0:01.992',-0.013
'0:01.994',-0.013
'0:01.996',-0.013
'0:01.998',-0.013
'0:02.000',-0.012
'0:02.002',-0.012
'0:02.004',-0.012
'0:02.006',-0.012
'0:02.008',-0.011
'0:02.010',-0.011
'0:02.012',-0.011
'0:02.014',-0.011
'0:02.016',-0.011
'0:02.018',-0.011
'0:02.020',-0.010
'0:02.022',-0.010
'0:02.024',-0.009
'0:02.026',-0.009
'0:02.028',-0.009
'0:02.030',-0.009
'0:02.032',-0.009
'0:02.034',-0.009
'0:02.036',-0.007
'0:02.038',-0.007
'0:02.040',-0.007
'0:02.042',-0.007
'0:02.044',-0.006
'0:02.046',-0.006
'0:02.048',-0.006
'0:02.050',-0.006
'0:02.052',-0.006
'0:02.054',-0.005
'0:02.056',-0.005
'0:02.058',-0.005
'0:02.060',-0.004
'0:02.062',-0.005
'0:02.064',-0.005
'0:02.066',-0.005
'0:02.068',-0.005
'0:02.070',-0.004
'0:02.072',-0.004
'0:02.074',-0.005
'0:02.076',-0.005
'0:02.078',-0.005
'0:02.080',-0.004
'0:02.082',-0.005
'0:02.084',-0.005
'0:02.086',-0.005
'0:02.088',-0.005
'0:02.090',-0.005
'0:02.092',-0.006
'0:02.094',-0.006
'0:02.096',-0.006
'0:02.098',-0.006
'0:02.100',-0.006
'0:02.102',-0.006
'0:02.104',-0.006
'0:02.106',-0.006
'0:02.108',-0.006
'0:02.110',-0.006
'0:02.112',-0.007
'0:02.114',-0.007
'0:02.116',-0.007
'0:02.118',-0.007
'0:02.120',-0.007
'0:02.122',-0.007
'0:02.124',-0.007
'0:02.126',-0.007
'0:02.128',-0.007
'0:02.130',-0.007
'0:02.132',-0.007
'0:02.134',-0.007
'0:02.136',-0.008
'0:02.138',-0.008
'0:02.140',-0.008
'0:02.142',-0.009
'0:02.144',-0.008
'0:02.146',-0.008
'0:02.148',-0.008
'0:02.150',-0.009
'0:02.152',-0.008
'0:02.154',-0.008
'0:02.156',-0.009
'0:02.158',-0.008
'0:02.160',-0.008
'0:02.162',-0.009
'0:02.164',-0.008
'0:02.166',-0.009
'0:02.168',-0.009
'0:02.170',-0.009
'0:02.172',-0.009
'0:02.174',-0.009
'0:02.176',-0.009
'0:02.178',-0.008
'0:02.180',-0.009
'0:02.182',-0.009
'0:02.184',-0.008
'0:02.186',-0.009
'0:02.188',-0.009
'0:02.190',-0.008
'0:02.192',-0.008
'0:02.194',-0.008
'0:02.196',-0.009
'0:02.198',-0.007
'0:02.200',-0.008
'0:02.202',-0.008
'0:02.204',-0.007
'0:02.206',-0.007
'0:02.208',-0.007
'0:02.210',-0.007
'0:02.212',-0.006
'0:02.214',-0.006
'0:02.216',-0.006
'0:02.218',-0.006
'0:02.220',-0.008
'0:02.222',-0.011
'0:02.224',-0.018
'0:02.226',-0.026
'0:02.228',-0.029
'0:02.230',-0.028
'0:02.232',-0.028
'0:02.234',-0.030
'0:02.236',-0.033
'0:02.238',-0.033
'0:02.240',-0.032
'0:02.242',-0.028
'0:02.244',-0.021
'0:02.246',-0.013
'0:02.248',-0.004
'0:02.250',0.004
'0:02.252',0.013
'0:02.254',0.018
'0:02.256',0.020
'0:02.258',0.016
'0:02.260',0.009
'0:02.262',0.003
'0:02.264',0.002
'0:02.266',0.003
'0:02.268',0.005
'0:02.270',0.005
'0:02.272',0.005
'0:02.274',0.004
'0:02.276',0.004
'0:02.278',0.003
'0:02.280',0.003
'0:02.282',0.003
'0:02.284',0.003
'0:02.286',0.003
'0:02.288',0.003
'0:02.290',0.002
'0:02.292',0.002
'0:02.294',0.000
'0:02.296',-0.002
'0:02.298',-0.008
'0:02.300',-0.025
'0:02.302',-0.061
'0:02.304',-0.119
'0:02.306',-0.192
'0:02.308',-0.249
'0:02.310',-0.244
'0:02.312',-0.126
'0:02.314',0.102
'0:02.316',0.342
'0:02.318',0.480
'0:02.320',0.559
'0:02.322',0.670
'0:02.324',0.753
'0:02.326',0.786
'0:02.328',0.795
'0:02.330',0.674
'0:02.332',0.440
'0:02.334',0.251
'0:02.336',0.142
'0:02.338',0.079
'0:02.340',0.046
'0:02.342',0.029
'0:02.344',0.016
'0:02.346',-0.001
'0:02.348',-0.014
'0:02.350',-0.022
'0:02.352',-0.025
'0:02.354',-0.027
'0:02.356',-0.028
'0:02.358',-0.029
'0:02.360',-0.029
'0:02.362',-0.030
'0:02.364',-0.032
'0:02.366',-0.033
'0:02.368',-0.034
'0:02.370',-0.035
'0:02.372',-0.035
'0:02.374',-0.036
'0:02.376',-0.038
