'Elapsed time','I'
'0:00.232',0.285
'0:00.234',0.266
'0:00.236',0.271
'0:00.238',0.272
'0:00.240',0.260
'0:00.242',0.256
'0:00.244',0.258
'0:00.246',0.256
'0:00.248',0.252
'0:00.250',0.243
'0:00.252',0.242
'0:00.254',0.244
'0:00.256',0.240
'0:00.258',0.247
'0:00.260',0.240
'0:00.262',0.233
'0:00.264',0.250
'0:00.266',0.234
'0:00.268',0.236
'0:00.270',0.240
'0:00.272',0.227
'0:00.274',0.235
'0:00.276',0.235
'0:00.278',0.233
'0:00.280',0.235
'0:00.282',0.226
'0:00.284',0.232
'0:00.286',0.234
'0:00.288',0.220
'0:00.290',0.231
'0:00.292',0.225
'0:00.294',0.217
'0:00.296',0.230
'0:00.298',0.233
'0:00.300',0.224
'0:00.302',0.230
'0:00.304',0.225
'0:00.306',0.232
'0:00.308',0.232
'0:00.310',0.220
'0:00.312',0.227
'0:00.314',0.225
'0:00.316',0.224
'0:00.318',0.225
'0:00.320',0.236
'0:00.322',0.230
'0:00.324',0.212
'0:00.326',0.231
'0:00.328',0.223
'0:00.330',0.225
'0:00.332',0.231
'0:00.334',0.211
'0:00.336',0.216
'0:00.338',0.224
'0:00.340',0.217
'0:00.342',0.226
'0:00.344',0.218
'0:00.346',0.221
'0:00.348',0.216
'0:00.350',0.213
'0:00.352',0.204
'0:00.354',0.203
'0:00.356',0.213
'0:00.358',0.221
'0:00.360',0.212
'0:00.362',0.207
'0:00.364',0.210
'0:00.366',0.213
'0:00.368',0.202
'0:00.370',0.207
'0:00.372',0.206
'0:00.374',0.209
'0:00.376',0.211
'0:00.378',0.214
'0:00.380',0.220
'0:00.382',0.214
'0:00.384',0.215
'0:00.386',0.204
'0:00.388',0.205
'0:00.390',0.201
'0:00.392',0.200
'0:00.394',0.211
'0:00.396',0.199
'0:00.398',0.208
'0:00.400',0.196
'0:00.402',0.193
'0:00.404',0.188
'0:00.406',0.193
'0:00.408',0.199
'0:00.410',0.194
'0:00.412',0.195
'0:00.414',0.198
'0:00.416',0.202
'0:00.418',0.198
'0:00.420',0.206
'0:00.422',0.192
'0:00.424',0.193
'0:00.426',0.193
'0:00.428',0.191
'0:00.430',0.203
'0:00.432',0.196
'0:00.434',0.201
'0:00.436',0.202
'0:00.438',0.203
'0:00.440',0.207
'0:00.442',0.195
'0:00.444',0.213
'0:00.446',0.206
'0:00.448',0.215
'0:00.450',0.208
'0:00.452',0.209
'0:00.454',0.204
'0:00.456',0.210
'0:00.458',0.212
'0:00.460',0.217
'0:00.462',0.217
'0:00.464',0.215
'0:00.466',0.226
'0:00.468',0.223
'0:00.470',0.211
'0:00.472',0.214
'0:00.474',0.210
'0:00.476',0.216
'0:00.478',0.222
'0:00.480',0.229
'0:00.482',0.234
'0:00.484',0.238
'0:00.486',0.231
'0:00.488',0.234
'0:00.490',0.236
'0:00.492',0.244
'0:00.494',0.252
'0:00.496',0.240
'0:00.498',0.255
'0:00.500',0.265
'0:00.502',0.267
'0:00.504',0.283
'0:00.506',0.287
'0:00.508',0.292
'0:00.510',0.282
'0:00.512',0.284
'0:00.514',0.293
'0:00.516',0.302
'0:00.518',0.276
'0:00.520',0.263
'0:00.522',0.236
'0:00.524',0.235
'0:00.526',0.210
'0:00.528',0.223
'0:00.530',0.209
'0:00.532',0.208
'0:00.534',0.186
'0:00.536',0.200
'0:00.538',0.203
'0:00.540',0.203
'0:00.542',0.195
'0:00.544',0.203
'0:00.546',0.183
'0:00.548',0.191
'0:00.550',0.183
'0:00.552',0.185
'0:00.554',0.192
'0:00.556',0.188
'0:00.558',0.179
'0:00.560',0.187
'0:00.562',0.179
'0:00.564',0.192
'0:00.566',0.176
'0:00.568',0.183
'0:00.570',0.184
'0:00.572',0.205
'0:00.574',0.214
'0:00.576',0.243
'0:00.578',0.272
'0:00.580',0.300
'0:00.582',0.336
'0:00.584',0.416
'0:00.586',0.488
'0:00.588',0.553
'0:00.590',0.631
'0:00.592',0.716
'0:00.594',0.773
'0:00.596',0.836
'0:00.598',0.839
'0:00.600',0.812
'0:00.602',0.760
'0:00.604',0.734
'0:00.606',0.618
'0:00.608',0.487
'0:00.610',0.401
'0:00.612',0.331
'0:00.614',0.246
'0:00.616',0.207
'0:00.618',0.167
'0:00.620',0.124
'0:00.622',0.084
'0:00.624',0.068
'0:00.626',0.048
'0:00.628',0.022
'0:00.630',0.021
'0:00.632',0.064
'0:00.634',0.064
'0:00.636',0.094
'0:00.638',0.114
'0:00.640',0.122
'0:00.642',0.128
'0:00.644',0.132
'0:00.646',0.146
'0:00.648',0.152
'0:00.650',0.152
'0:00.652',0.146
'0:00.654',0.148
'0:00.656',0.165
'0:00.658',0.160
'0:00.660',0.170
'0:00.662',0.173
'0:00.664',0.185
'0:00.666',0.169
'0:00.668',0.165
'0:00.670',0.177
'0:00.672',0.173
'0:00.674',0.166
'0:00.676',0.177
'0:00.678',0.176
'0:00.680',0.176
'0:00.682',0.176
'0:00.684',0.178
'0:00.686',0.183
'0:00.688',0.179
'0:00.690',0.181
'0:00.692',0.180
'0:00.694',0.189
'0:00.696',0.198
'0:00.698',0.192
'0:00.700',0.192
'0:00.702',0.189
'0:00.704',0.198
'0:00.706',0.193
'0:00.708',0.192
'0:00.710',0.188
'0:00.712',0.195
'0:00.714',0.204
'0:00.716',0.184
'0:00.718',0.199
'0:00.720',0.192
'0:00.722',0.204
'0:00.724',0.203
'0:00.726',0.200
'0:00.728',0.197
'0:00.730',0.204
'0:00.732',0.204
'0:00.734',0.214
'0:00.736',0.212
'0:00.738',0.218
'0:00.740',0.221
'0:00.742',0.225
'0:00.744',0.224
'0:00.746',0.227
'0:00.748',0.227
'0:00.750',0.225
'0:00.752',0.225
'0:00.754',0.235
'0:00.756',0.236
'0:00.758',0.238
'0:00.760',0.248
'0:00.762',0.245
'0:00.764',0.259
'0:00.766',0.262
'0:00.768',0.254
'0:00.770',0.260
'0:00.772',0.264
'0:00.774',0.268
'0:00.776',0.286
'0:00.778',0.289
'0:00.780',0.283
'0:00.782',0.298
'0:00.784',0.297
'0:00.786',0.307
'0:00.788',0.311
'0:00.790',0.312
'0:00.792',0.322
'0:00.794',0.344
'0:00.796',0.331
'0:00.798',0.342
'0:00.800',0.359
'0:00.802',0.363
'0:00.804',0.377
'0:00.806',0.367
'0:00.808',0.378
'0:00.810',0.379
'0:00.812',0.383
'0:00.814',0.382
'0:00.816',0.396
'0:00.818',0.404
'0:00.820',0.413
'0:00.822',0.415
'0:00.824',0.423
'0:00.826',0.415
'0:00.828',0.421
'0:00.830',0.418
'0:00.832',0.429
'0:00.834',0.429
'0:00.836',0.430
'0:00.838',0.420
'0:00.840',0.424
'0:00.842',0.425
'0:00.844',0.412
'0:00.846',0.417
'0:00.848',0.402
'0:00.850',0.399
'0:00.852',0.396
'0:00.854',0.386
'0:00.856',0.375
'0:00.858',0.368
'0:00.860',0.375
'0:00.862',0.345
'0:00.864',0.340
'0:00.866',0.336
'0:00.868',0.327
'0:00.870',0.319
'0:00.872',0.309
'0:00.874',0.307
'0:00.876',0.302
'0:00.878',0.295
'0:00.880',0.286
'0:00.882',0.281
'0:00.884',0.276
'0:00.886',0.264
'0:00.888',0.256
'0:00.890',0.247
'0:00.892',0.248
'0:00.894',0.246
'0:00.896',0.238
'0:00.898',0.245
'0:00.900',0.238
'0:00.902',0.227
'0:00.904',0.230
'0:00.906',0.224
'0:00.908',0.230
'0:00.910',0.225
'0:00.912',0.224
'0:00.914',0.212
'0:00.916',0.219
'0:00.918',0.217
'0:00.920',0.217
'0:00.922',0.216
'0:00.924',0.218
'0:00.926',0.210
'0:00.928',0.210
'0:00.930',0.210
'0:00.932',0.208
'0:00.934',0.203
'0:00.936',0.208
'0:00.938',0.209
'0:00.940',0.205
'0:00.942',0.202
'0:00.944',0.213
'0:00.946',0.202
'0:00.948',0.210
'0:00.950',0.202
'0:00.952',0.200
'0:00.954',0.204
'0:00.956',0.205
'0:00.958',0.196
'0:00.960',0.195
'0:00.962',0.205
'0:00.964',0.204
'0:00.966',0.204
'0:00.968',0.208
'0:00.970',0.202
'0:00.972',0.192
'0:00.974',0.197
'0:00.976',0.202
'0:00.978',0.190
'0:00.980',0.198
'0:00.982',0.203
'0:00.984',0.197
'0:00.986',0.199
'0:00.988',0.190
'0:00.990',0.190
'0:00.992',0.185
'0:00.994',0.198
'0:00.996',0.194
'0:00.998',0.192
'0:01.000',0.194
'0:01.002',0.188
'0:01.004',0.180
'0:01.006',0.179
'0:01.008',0.181
'0:01.010',0.184
'0:01.012',0.182
'0:01.014',0.183
'0:01.016',0.186
'0:01.018',0.184
'0:01.020',0.187
'0:01.022',0.188
'0:01.024',0.193
'0:01.026',0.185
'0:01.028',0.178
'0:01.030',0.189
'0:01.032',0.176
'0:01.034',0.185
'0:01.036',0.179
'0:01.038',0.180
'0:01.040',0.183
'0:01.042',0.181
'0:01.044',0.190
'0:01.046',0.186
'0:01.048',0.173
'0:01.050',0.175
'0:01.052',0.193
'0:01.054',0.179
'0:01.056',0.190
'0:01.058',0.189
'0:01.060',0.190
'0:01.062',0.184
'0:01.064',0.184
'0:01.066',0.183
'0:01.068',0.182
'0:01.070',0.186
'0:01.072',0.180
'0:01.074',0.191
'0:01.076',0.186
'0:01.078',0.189
'0:01.080',0.181
'0:01.082',0.183
'0:01.084',0.196
'0:01.086',0.193
'0:01.088',0.184
'0:01.090',0.194
'0:01.092',0.180
'0:01.094',0.188
'0:01.096',0.188
'0:01.098',0.186
'0:01.100',0.199
'0:01.102',0.194
'0:01.104',0.199
'0:01.106',0.197
'0:01.108',0.198
'0:01.110',0.197
'0:01.112',0.193
'0:01.114',0.192
'0:01.116',0.193
'0:01.118',0.189
'0:01.120',0.189
'0:01.122',0.205
'0:01.124',0.203
'0:01.126',0.197
'0:01.128',0.196
'0:01.130',0.191
'0:01.132',0.200
'0:01.134',0.210
'0:01.136',0.209
'0:01.138',0.211
'0:01.140',0.225
'0:01.142',0.215
'0:01.144',0.226
'0:01.146',0.222
'0:01.148',0.225
'0:01.150',0.226
'0:01.152',0.227
'0:01.154',0.224
'0:01.156',0.225
'0:01.158',0.238
'0:01.160',0.248
'0:01.162',0.264
'0:01.164',0.266
'0:01.166',0.266
'0:01.168',0.260
'0:01.170',0.268
'0:01.172',0.273
'0:01.174',0.273
'0:01.176',0.249
'0:01.178',0.235
'0:01.180',0.222
'0:01.182',0.200
'0:01.184',0.201
'0:01.186',0.186
'0:01.188',0.189
'0:01.190',0.186
'0:01.192',0.184
'0:01.194',0.175
'0:01.196',0.176
'0:01.198',0.183
'0:01.200',0.179
'0:01.202',0.182
'0:01.204',0.175
'0:01.206',0.172
'0:01.208',0.172
'0:01.210',0.169
'0:01.212',0.166
'0:01.214',0.162
'0:01.216',0.171
'0:01.218',0.168
'0:01.220',0.163
'0:01.222',0.162
'0:01.224',0.153
'0:01.226',0.158
'0:01.228',0.169
'0:01.230',0.183
'0:01.232',0.202
'0:01.234',0.226
'0:01.236',0.252
'0:01.238',0.295
'0:01.240',0.342
'0:01.242',0.421
'0:01.244',0.495
'0:01.246',0.573
'0:01.248',0.648
'0:01.250',0.718
'0:01.252',0.784
'0:01.254',0.833
'0:01.256',0.826
'0:01.258',0.790
'0:01.260',0.755
'0:01.262',0.691
'0:01.264',0.577
'0:01.266',0.454
'0:01.268',0.391
'0:01.270',0.306
'0:01.272',0.239
'0:01.274',0.198
'0:01.276',0.145
'0:01.278',0.099
'0:01.280',0.074
'0:01.282',0.054
'0:01.284',0.025
'0:01.286',0.015
'0:01.288',0.048
'0:01.290',0.062
'0:01.292',0.080
'0:01.294',0.096
'0:01.296',0.103
'0:01.298',0.112
'0:01.300',0.116
'0:01.302',0.124
'0:01.304',0.124
'0:01.306',0.128
'0:01.308',0.130
'0:01.310',0.150
'0:01.312',0.149
'0:01.314',0.147
'0:01.316',0.159
'0:01.318',0.159
'0:01.320',0.154
'0:01.322',0.148
'0:01.324',0.149
'0:01.326',0.160
'0:01.328',0.163
'0:01.330',0.153
'0:01.332',0.163
'0:01.334',0.163
'0:01.336',0.167
'0:01.338',0.168
'0:01.340',0.171
'0:01.342',0.170
'0:01.344',0.166
'0:01.346',0.165
'0:01.348',0.159
'0:01.350',0.165
'0:01.352',0.169
'0:01.354',0.157
'0:01.356',0.172
'0:01.358',0.175
'0:01.360',0.171
'0:01.362',0.174
'0:01.364',0.170
'0:01.366',0.177
'0:01.368',0.176
'0:01.370',0.178
'0:01.372',0.174
'0:01.374',0.179
'0:01.376',0.181
'0:01.378',0.177
'0:01.380',0.191
'0:01.382',0.189
'0:01.384',0.187
'0:01.386',0.190
'0:01.388',0.186
'0:01.390',0.188
'0:01.392',0.190
'0:01.394',0.190
'0:01.396',0.188
'0:01.398',0.193
'0:01.400',0.198
'0:01.402',0.199
'0:01.404',0.201
'0:01.406',0.206
'0:01.408',0.207
'0:01.410',0.210
'0:01.412',0.217
'0:01.414',0.216
'0:01.416',0.230
'0:01.418',0.228
'0:01.420',0.234
'0:01.422',0.237
'0:01.424',0.230
'0:01.426',0.240
'0:01.428',0.242
'0:01.430',0.244
'0:01.432',0.254
'0:01.434',0.261
'0:01.436',0.277
'0:01.438',0.282
'0:01.440',0.293
'0:01.442',0.292
'0:01.444',0.295
'0:01.446',0.304
'0:01.448',0.299
'0:01.450',0.306
'0:01.452',0.317
'0:01.454',0.326
'0:01.456',0.335
'0:01.458',0.345
'0:01.460',0.345
'0:01.462',0.355
'0:01.464',0.362
'0:01.466',0.364
'0:01.468',0.367
'0:01.470',0.376
'0:01.472',0.379
'0:01.474',0.380
'0:01.476',0.390
'0:01.478',0.393
'0:01.480',0.400
'0:01.482',0.402
'0:01.484',0.412
'0:01.486',0.410
'0:01.488',0.410
'0:01.490',0.415
'0:01.492',0.411
'0:01.494',0.411
'0:01.496',0.403
'0:01.498',0.415
'0:01.500',0.410
'0:01.502',0.402
'0:01.504',0.398
'0:01.506',0.389
'0:01.508',0.378
'0:01.510',0.376
'0:01.512',0.369
'0:01.514',0.364
'0:01.516',0.354
'0:01.518',0.352
'0:01.520',0.344
'0:01.522',0.337
'0:01.524',0.328
'0:01.526',0.315
'0:01.528',0.308
'0:01.530',0.306
'0:01.532',0.297
'0:01.534',0.285
'0:01.536',0.279
'0:01.538',0.274
'0:01.540',0.273
'0:01.542',0.263
'0:01.544',0.260
'0:01.546',0.245
'0:01.548',0.229
'0:01.550',0.256
'0:01.552',0.252
'0:01.554',0.236
'0:01.556',0.237
'0:01.558',0.232
'0:01.560',0.228
'0:01.562',0.229
'0:01.564',0.219
'0:01.566',0.231
'0:01.568',0.222
'0:01.570',0.218
'0:01.572',0.216
'0:01.574',0.216
'0:01.576',0.221
'0:01.578',0.221
'0:01.580',0.214
'0:01.582',0.214
'0:01.584',0.213
'0:01.586',0.214
'0:01.588',0.207
'0:01.590',0.211
'0:01.592',0.210
'0:01.594',0.207
'0:01.596',0.212
'0:01.598',0.212
'0:01.600',0.207
'0:01.602',0.221
'0:01.604',0.210
'0:01.606',0.210
'0:01.608',0.203
'0:01.610',0.206
'0:01.612',0.200
'0:01.614',0.203
'0:01.616',0.198
'0:01.618',0.212
'0:01.620',0.209
'0:01.622',0.213
'0:01.624',0.215
'0:01.626',0.207
'0:01.628',0.203
'0:01.630',0.205
'0:01.632',0.208
'0:01.634',0.203
'0:01.636',0.199
'0:01.638',0.204
'0:01.640',0.204
'0:01.642',0.199
'0:01.644',0.203
'0:01.646',0.198
'0:01.648',0.194
'0:01.650',0.193
'0:01.652',0.193
'0:01.654',0.203
'0:01.656',0.185
'0:01.658',0.199
'0:01.660',0.194
'0:01.662',0.193
'0:01.664',0.188
'0:01.666',0.190
'0:01.668',0.189
'0:01.670',0.187
'0:01.672',0.187
'0:01.674',0.191
'0:01.676',0.188
'0:01.678',0.192
'0:01.680',0.188
'0:01.682',0.186
'0:01.684',0.185
'0:01.686',0.185
'0:01.688',0.185
'0:01.690',0.186
'0:01.692',0.185
'0:01.694',0.182
'0:01.696',0.186
'0:01.698',0.186
'0:01.700',0.189
'0:01.702',0.179
'0:01.704',0.193
'0:01.706',0.186
'0:01.708',0.175
'0:01.710',0.182
'0:01.712',0.182
'0:01.714',0.177
'0:01.716',0.174
'0:01.718',0.190
'0:01.720',0.181
'0:01.722',0.177
'0:01.724',0.193
'0:01.726',0.177
'0:01.728',0.178
'0:01.730',0.179
'0:01.732',0.179
'0:01.734',0.171
'0:01.736',0.182
'0:01.738',0.182
'0:01.740',0.178
'0:01.742',0.179
'0:01.744',0.178
'0:01.746',0.175
'0:01.748',0.176
'0:01.750',0.176
'0:01.752',0.179
'0:01.754',0.181
'0:01.756',0.184
'0:01.758',0.183
'0:01.760',0.186
'0:01.762',0.186
'0:01.764',0.193
'0:01.766',0.184
'0:01.768',0.193
'0:01.770',0.194
'0:01.772',0.184
'0:01.774',0.190
'0:01.776',0.189
'0:01.778',0.196
'0:01.780',0.189
'0:01.782',0.203
'0:01.784',0.201
'0:01.786',0.189
'0:01.788',0.187
'0:01.790',0.191
'0:01.792',0.207
'0:01.794',0.205
'0:01.796',0.207
'0:01.798',0.210
'0:01.800',0.214
'0:01.802',0.217
'0:01.804',0.216
'0:01.806',0.222
'0:01.808',0.227
'0:01.810',0.225
'0:01.812',0.218
'0:01.814',0.222
'0:01.816',0.231
'0:01.818',0.239
'0:01.820',0.258
'0:01.822',0.277
'0:01.824',0.268
'0:01.826',0.272
'0:01.828',0.276
'0:01.830',0.282
'0:01.832',0.272
'0:01.834',0.256
'0:01.836',0.237
'0:01.838',0.226
'0:01.840',0.215
'0:01.842',0.199
'0:01.844',0.196
'0:01.846',0.191
'0:01.848',0.185
'0:01.850',0.184
'0:01.852',0.181
'0:01.854',0.178
'0:01.856',0.172
'0:01.858',0.182
'0:01.860',0.169
'0:01.862',0.172
'0:01.864',0.171
'0:01.866',0.167
'0:01.868',0.169
'0:01.870',0.165
'0:01.872',0.161
'0:01.874',0.170
'0:01.876',0.165
'0:01.878',0.169
'0:01.880',0.162
'0:01.882',0.154
'0:01.884',0.168
'0:01.886',0.158
'0:01.888',0.177
'0:01.890',0.195
'0:01.892',0.225
'0:01.894',0.234
'0:01.896',0.277
'0:01.898',0.326
'0:01.900',0.392
'0:01.902',0.469
'0:01.904',0.559
'0:01.906',0.640
'0:01.908',0.726
'0:01.910',0.782
'0:01.912',0.858
'0:01.914',0.894
'0:01.916',0.869
'0:01.918',0.827
'0:01.920',0.787
'0:01.922',0.681
'0:01.924',0.550
'0:01.926',0.443
'0:01.928',0.366
'0:01.930',0.279
'0:01.932',0.228
'0:01.934',0.182
'0:01.936',0.113
'0:01.938',0.076
'0:01.940',0.044
'0:01.942',0.024
'0:01.944',0.001
'0:01.946',0.025
'0:01.948',0.046
'0:01.950',0.071
'0:01.952',0.087
'0:01.954',0.100
'0:01.956',0.101
'0:01.958',0.117
'0:01.960',0.127
'0:01.962',0.134
'0:01.964',0.134
'0:01.966',0.141
'0:01.968',0.148
'0:01.970',0.160
'0:01.972',0.151
'0:01.974',0.149
'0:01.976',0.160
'0:01.978',0.162
'0:01.980',0.160
'0:01.982',0.165
'0:01.984',0.161
'0:01.986',0.166
'0:01.988',0.162
'0:01.990',0.160
'0:01.992',0.164
'0:01.994',0.163
'0:01.996',0.165
'0:01.998',0.166
'0:02.000',0.170
'0:02.002',0.165
'0:02.004',0.161
'0:02.006',0.158
'0:02.008',0.150
'0:02.010',0.169
'0:02.012',0.170
'0:02.014',0.167
'0:02.016',0.170
'0:02.018',0.172
'0:02.020',0.168
'0:02.022',0.169
'0:02.024',0.172
'0:02.026',0.175
'0:02.028',0.170
'0:02.030',0.172
'0:02.032',0.179
'0:02.034',0.173
'0:02.036',0.180
'0:02.038',0.194
'0:02.040',0.193
'0:02.042',0.187
'0:02.044',0.197
'0:02.046',0.202
'0:02.048',0.198
'0:02.050',0.194
'0:02.052',0.193
'0:02.054',0.196
'0:02.056',0.197
'0:02.058',0.202
'0:02.060',0.204
'0:02.062',0.209
'0:02.064',0.214
'0:02.066',0.217
'0:02.068',0.212
'0:02.070',0.228
'0:02.072',0.225
'0:02.074',0.230
'0:02.076',0.236
'0:02.078',0.240
'0:02.080',0.237
'0:02.082',0.246
'0:02.084',0.253
'0:02.086',0.252
'0:02.088',0.257
'0:02.090',0.269
'0:02.092',0.265
'0:02.094',0.278
'0:02.096',0.275
'0:02.098',0.290
'0:02.100',0.288
'0:02.102',0.297
'0:02.104',0.306
'0:02.106',0.310
'0:02.108',0.309
'0:02.110',0.322
'0:02.112',0.325
'0:02.114',0.334
'0:02.116',0.349
'0:02.118',0.354
'0:02.120',0.362
'0:02.122',0.360
'0:02.124',0.372
'0:02.126',0.380
'0:02.128',0.389
'0:02.130',0.390
'0:02.132',0.391
'0:02.134',0.393
'0:02.136',0.400
'0:02.138',0.419
'0:02.140',0.419
'0:02.142',0.404
'0:02.144',0.420
'0:02.146',0.425
'0:02.148',0.422
'0:02.150',0.420
'0:02.152',0.422
'0:02.154',0.421
'0:02.156',0.421
'0:02.158',0.425
'0:02.160',0.414
'0:02.162',0.409
'0:02.164',0.408
'0:02.166',0.392
'0:02.168',0.381
'0:02.170',0.383
'0:02.172',0.370
'0:02.174',0.365
'0:02.176',0.357
'0:02.178',0.351
'0:02.180',0.334
'0:02.182',0.335
'0:02.184',0.330
'0:02.186',0.313
'0:02.188',0.308
'0:02.190',0.299
'0:02.192',0.296
'0:02.194',0.277
'0:02.196',0.266
'0:02.198',0.274
'0:02.200',0.271
'0:02.202',0.242
'0:02.204',0.253
'0:02.206',0.241
'0:02.208',0.243
'0:02.210',0.236
'0:02.212',0.239
'0:02.214',0.226
'0:02.216',0.226
'0:02.218',0.224
'0:02.220',0.223
'0:02.222',0.217
'0:02.224',0.225
'0:02.226',0.218
'0:02.228',0.204
'0:02.230',0.205
'0:02.232',0.206
'0:02.234',0.207
'0:02.236',0.212
'0:02.238',0.201
'0:02.240',0.209
'0:02.242',0.206
'0:02.244',0.201
'0:02.246',0.205
'0:02.248',0.197
'0:02.250',0.191
'0:02.252',0.198
'0:02.254',0.193
'0:02.256',0.196
'0:02.258',0.207
'0:02.260',0.199
'0:02.262',0.198
'0:02.264',0.203
'0:02.266',0.203
'0:02.268',0.196
'0:02.270',0.193
'0:02.272',0.197
'0:02.274',0.191
'0:02.276',0.200
'0:02.278',0.197
'0:02.280',0.191
'0:02.282',0.190
'0:02.284',0.182
'0:02.286',0.189
'0:02.288',0.183
'0:02.290',0.192
'0:02.292',0.178
'0:02.294',0.193
'0:02.296',0.181
'0:02.298',0.191
'0:02.300',0.181
'0:02.302',0.198
'0:02.304',0.196
'0:02.306',0.189
'0:02.308',0.189
'0:02.310',0.180
'0:02.312',0.171
'0:02.314',0.180
'0:02.316',0.181
'0:02.318',0.184
'0:02.320',0.184
'0:02.322',0.173
'0:02.324',0.176
'0:02.326',0.183
'0:02.328',0.180
'0:02.330',0.172
'0:02.332',0.175
'0:02.334',0.169
'0:02.336',0.172
'0:02.338',0.180
'0:02.340',0.169
'0:02.342',0.172
'0:02.344',0.172
'0:02.346',0.169
'0:02.348',0.172
'0:02.350',0.168
'0:02.352',0.171
'0:02.354',0.170
'0:02.356',0.165
'0:02.358',0.169
'0:02.360',0.167
'0:02.362',0.164
'0:02.364',0.170
'0:02.366',0.172
'0:02.368',0.161
'0:02.370',0.166
'0:02.372',0.167
'0:02.374',0.157
'0:02.376',0.166
'0:02.378',0.180
'0:02.380',0.167
'0:02.382',0.171
'0:02.384',0.159
'0:02.386',0.165
'0:02.388',0.172
'0:02.390',0.174
'0:02.392',0.169
'0:02.394',0.169
'0:02.396',0.158
'0:02.398',0.164
'0:02.400',0.162
'0:02.402',0.163
'0:02.404',0.168
'0:02.406',0.165
'0:02.408',0.165
'0:02.410',0.161
'0:02.412',0.151
'0:02.414',0.148
'0:02.416',0.170
'0:02.418',0.170
'0:02.420',0.165
'0:02.422',0.177
'0:02.424',0.169
'0:02.426',0.190
'0:02.428',0.176
'0:02.430',0.178
'0:02.432',0.186
'0:02.434',0.174
'0:02.436',0.173
'0:02.438',0.170
'0:02.440',0.173
'0:02.442',0.177
'0:02.444',0.192
'0:02.446',0.181
'0:02.448',0.175
'0:02.450',0.188
'0:02.452',0.182
'0:02.454',0.183
'0:02.456',0.191
'0:02.458',0.205
'0:02.460',0.204
'0:02.462',0.207
'0:02.464',0.212
'0:02.466',0.218
'0:02.468',0.212
'0:02.470',0.211
'0:02.472',0.213
'0:02.474',0.217
'0:02.476',0.217
'0:02.478',0.222
'0:02.480',0.199
'0:02.482',0.194
'0:02.484',0.233
'0:02.486',0.251
'0:02.488',0.258
'0:02.490',0.254
'0:02.492',0.250
'0:02.494',0.255
'0:02.496',0.278
'0:02.498',0.268
'0:02.500',0.251
'0:02.502',0.232
'0:02.504',0.218
'0:02.506',0.201
'0:02.508',0.185
'0:02.510',0.172
'0:02.512',0.173
'0:02.514',0.177
'0:02.516',0.164
'0:02.518',0.163
'0:02.520',0.169
'0:02.522',0.172
'0:02.524',0.166
'0:02.526',0.175
'0:02.528',0.163
'0:02.530',0.161
'0:02.532',0.157
'0:02.534',0.160
'0:02.536',0.155
